Temperature,Voltage [Heating],Voltage [Cooling],Mean Voltage,Rho_0,Rho,1/T,ln Rho
301,190.3,188.5,189.4,29.75,9.02,3.32,2.2
306,192.2,190.4,191.3,30.05,9.11,3.27,2.21
311,190.3,191.6,191,30,9.09,3.22,2.21
316,189.4,188.6,189,29.69,9,3.16,2.2
321,185.6,185.5,185.6,29.15,8.83,3.12,2.18
326,177.1,177.2,177.2,27.83,8.43,3.07,2.13
331,164.1,166.5,165.3,25.97,7.87,3.02,2.06
336,153.2,153.4,153.3,24.08,7.3,2.98,1.99
341,142.3,138.6,140.5,22.07,6.69,2.93,1.9
346,126.6,124.5,125.6,19.73,5.98,2.89,1.79
351,110.6,109.3,110,17.28,5.24,2.85,1.66
356,96.6,96.2,96.4,15.14,4.59,2.81,1.52
361,84.3,83.8,84.1,13.21,4,2.77,1.39
366,73.2,72.9,73.1,11.48,3.48,2.73,1.25
371,64.2,63.6,63.9,10.04,3.04,2.7,1.11
376,55.9,55.4,55.7,8.75,2.65,2.66,0.97
381,48.7,48.3,48.5,7.62,2.31,2.62,0.84
386,42.8,42.3,42.6,6.69,2.03,2.59,0.71
391,38.2,37.2,37.7,5.92,1.79,2.56,0.58
396,34.1,32.5,33.3,5.23,1.58,2.53,0.46
401,29.5,28.7,29.1,4.57,1.38,2.49,0.32
